date,county,age,count
2020-03-31,Dallas,18-40,4
2020-03-31,Harrison,41-60,1
2020-03-31,Iowa,41-60,1
2020-03-31,Jasper,81+,1
2020-03-31,Johnson,18-40,2
2020-03-31,Johnson,41-60,1
2020-03-31,Jones,18-40,2
2020-03-31,Jones,41-60,1
2020-03-31,Keokuk,18-40,1
2020-03-31,Linn,18-40,3
2020-03-31,Linn,41-60,7
2020-03-31,Linn,61-80,7
2020-03-31,Linn,81+,2
2020-03-31,Marshall,18-40,1
2020-03-31,Marshall,61-80,1
2020-03-31,Muscatine,41-60,2
2020-03-31,Muscatine,61-80,1
2020-03-31,Polk,0-17,1
2020-03-31,Polk,18-40,5
2020-03-31,Polk,41-60,3
2020-03-31,Polk,61-80,4
2020-03-31,Polk,81+,2
2020-03-31,Pottawattamie,41-60,1
2020-03-31,Scott,41-60,2
2020-03-31,Sioux,41-60,1
2020-03-31,Sioux,61-80,1
2020-03-31,Tama,18-40,1
2020-03-31,Warren,41-60,2
2020-03-31,Washington,18-40,3
2020-03-31,Washington,61-80,2
2020-03-31,Washington,81+,1
2020-03-31,NA,NA,NA
2020-03-31,NA,NA,NA
2020-03-31,NA,NA,NA
2020-03-31,NA,NA,NA
2020-04-01,Cerro Gordo,18-40,1
2020-04-01,Clayton,81+,1
2020-04-01,Clinton,18-40,1
2020-04-01,Dallas,18-40,1
2020-04-01,Dallas,61-80,1
2020-04-01,Des Moines,41-60,1
2020-04-01,Dubuque,41-60,1
2020-04-01,Harrison,61-80,1
2020-04-01,Henry,18-40,1
2020-04-01,Henry,61-80,1
2020-04-01,Iowa,18-40,1
2020-04-01,Jasper,41-60,1
2020-04-01,Johnson,18-40,1
2020-04-01,Johnson,41-60,1
2020-04-01,Johnson,61-80,1
2020-04-01,Linn,18-40,2
2020-04-01,Linn,41-60,2
2020-04-01,Madison,61-80,1
2020-04-01,Mitchell,41-60,2
2020-04-01,Muscatine,41-60,1
2020-04-01,Muscatine,61-80,1
2020-04-01,O'Brien,41-60,1
2020-04-01,O'Brien,61-80,1
2020-04-01,Polk,41-60,1
2020-04-01,Polk,61-80,3
2020-04-01,Polk,81+,1
2020-04-01,Pottawattamie,0-17,1
2020-04-01,Poweshiek,61-80,1
2020-04-01,Scott,41-60,2
2020-04-01,Scott,18-40,1
2020-04-01,Story,61-80,2
2020-04-01,Tama,41-60,1
2020-04-01,Tama,61-80,2
2020-04-01,Van Buren,61-80,1
2020-04-01,Warren,18-40,1
2020-04-01,Washington,18-40,1
2020-04-01,Washington,41-60,5
2020-04-01,Washington,61-80,2
2020-04-01,Washington,81+,1
2020-04-01,NA,NA,NA
2020-04-01,NA,NA,NA
2020-04-02,Allamakee,0-17,1
2020-04-02,Allamakee,18-40,2
2020-04-02,Allamakee,41-60,4
2020-04-02,Allamakee,61-80,1
2020-04-02,Black Hawk,41-60,1
2020-04-02,Boone,41-60,1
2020-04-02,Bremer,41-60,1
2020-04-02,Buchanan,18-40,1
2020-04-02,Cedar,18-40,1
2020-04-02,Cedar,41-60,1
2020-04-02,Cerro Gordo,41-60,2
2020-04-02,Clay,41-60,1
2020-04-02,Clinton,18-40,2
2020-04-02,Clinton,61-80,1
2020-04-02,Dallas,18-40,1
2020-04-02,Dallas,41-60,3
2020-04-02,Jefferson,18-40,1
2020-04-02,Johnson,18-40,1
2020-04-02,Johnson,41-60,3
2020-04-02,Jones,41-60,1
2020-04-02,Linn,18-40,3
2020-04-02,Linn,41-60,4
2020-04-02,Linn,61-80,2
2020-04-02,Linn,81+,1
2020-04-02,Mahaska,41-60,1
2020-04-02,Marshall,41-60,1
2020-04-02,Muscatine,18-40,1
2020-04-02,Polk,18-40,2
2020-04-02,Polk,41-60,1
2020-04-02,Polk,61-80,3
2020-04-02,Poweshiek,41-60,1
2020-04-02,Scott,41-60,3
2020-04-02,Scott,61-80,1
2020-04-02,Tama,18-40,2
2020-04-02,Tama,41-60,1
2020-04-02,Van Buren,61-80,1
2020-04-02,Warren,18-40,1
2020-04-02,Warren,41-60,1
2020-04-02,Washington,18-40,1
2020-04-02,Washington,61-80,1
2020-04-02,Winneshiek,61-80,1
2020-04-02,Woodbury,18-40,2
2020-04-02,Woodbury,41-60,1
2020-04-02,NA,NA,NA
2020-04-03,Allamakee,18-40,1
2020-04-03,Clayton,18-40,1
2020-04-03,Clinton,41-60,4
2020-04-03,Clinton,61-80,1
2020-04-03,Crawford,41-60,1
2020-04-03,Crawford,61-80,2
2020-04-03,Dallas,61-80,2
2020-04-03,Dubuque,61-80,1
2020-04-03,Fayette,41-60,1
2020-04-03,Henry,41-60,1
2020-04-03,Jackson,41-60,1
2020-04-03,Jasper,61-80,1
2020-04-03,Jefferson,18-40,1
2020-04-03,Johnson,18-40,1
2020-04-03,Johnson,41-60,2
2020-04-03,Linn,18-40,1
2020-04-03,Linn,41-60,2
2020-04-03,Linn,61-80,5
2020-04-03,Linn,81+,6
2020-04-03,Louisa,61-80,1
2020-04-03,Lyon,41-60,1
2020-04-03,Marshall,18-40,1
2020-04-03,Monona,81+,1
2020-04-03,Muscatine,18-40,1
2020-04-03,Muscatine,41-60,1
2020-04-03,Muscatine,61-80,1
2020-04-03,O'Brien,41-60,1
2020-04-03,Plymouth,18-40,1
2020-04-03,Polk,18-40,6
2020-04-03,Polk,41-60,6
2020-04-03,Polk,61-80,1
2020-04-03,Pottawattamie,61-80,1
2020-04-03,Scott,41-60,4
2020-04-03,Scott,61-80,2
2020-04-03,Shelby,61-80,1
2020-04-03,Shelby,81+,1
2020-04-03,Sioux,61-80,1
2020-04-03,Story,18-40,1
2020-04-03,Tama,18-40,3
2020-04-03,Tama,41-60,1
2020-04-03,Tama,61-80,1
2020-04-03,Van Buren,18-40,1
2020-04-03,Van Buren,61-80,1
2020-04-03,Warren,18-40,1
2020-04-03,Warren,41-60,1
2020-04-03,Washington,18-40,2
2020-04-03,Washington,41-60,3
2020-04-03,Washington,61-80,2
2020-04-03,Woodbury,61-80,1
2020-04-04,Black Hawk,41-60,1
2020-04-04,Black Hawk,61-80,1
2020-04-04,Bremer,18-40,1
2020-04-04,Clinton,18-40,1
2020-04-04,Dubuque,41-60,2
2020-04-04,Grundy,41-60,1
2020-04-04,Howard,18-40,1
2020-04-04,Iowa,18-40,1
2020-04-04,Jefferson,41-60,1
2020-04-04,Johnson,18-40,7
2020-04-04,Johnson,41-60,5
2020-04-04,Johnson,61-80,1
2020-04-04,Keokuk,61-80,1
2020-04-04,Lee,61-80,1
2020-04-04,Linn,18-40,3
2020-04-04,Linn,41-60,9
2020-04-04,Linn,61-80,6
2020-04-04,Linn,81+,2
2020-04-04,Lyon,61-80,1
2020-04-04,Mills,41-60,1
2020-04-04,Muscatine,18-40,1
2020-04-04,Muscatine,41-60,3
2020-04-04,Muscatine,81+,1
2020-04-04,Plymouth,18-40,2
2020-04-04,Polk,18-40,1
2020-04-04,Polk,41-60,4
2020-04-04,Polk,61-80,4
2020-04-04,Pottawattamie,18-40,1
2020-04-04,Pottawattamie,41-60,1
2020-04-04,Scott,18-40,3
2020-04-04,Scott,41-60,2
2020-04-04,Scott,81+,2
2020-04-04,Sioux,18-40,1
2020-04-04,Sioux,41-60,1
2020-04-04,Tama,18-40,1
2020-04-04,Tama,61-80,2
2020-04-04,Tama,81+,4
2020-04-04,Warren,81+,1
2020-04-04,Washington,18-40,1
2020-04-04,Washington,41-60,1
2020-04-04,Washington,61-80,2
2020-04-04,NA,NA,NA
2020-04-04,NA,NA,NA
2020-04-04,NA,NA,NA
2020-04-05,Allamakee,61-80,1
2020-04-05,Benton,41-60,2
2020-04-05,Black Hawk,18-40,1
2020-04-05,Black Hawk,41-60,1
2020-04-05,Boone,41-60,1
2020-04-05,Buchanan,18-40,2
2020-04-05,Cedar,61-80,1
2020-04-05,Clarke,18-40,1
2020-04-05,Clayton,61-80,1
2020-04-05,Clinton,41-60,1
2020-04-05,Dallas,18-40,1
2020-04-05,Dallas,41-60,1
2020-04-05,Hamilton,61-80,1
2020-04-05,Henry,81+,2
2020-04-05,Johnson,18-40,7
2020-04-05,Johnson,41-60,3
2020-04-05,Jones,18-40,1
2020-04-05,Linn,18-40,3
2020-04-05,Linn,41-60,8
2020-04-05,Linn,61-80,4
2020-04-05,Linn,81+,7
2020-04-05,Louisa,81+,1
2020-04-05,Louisa,41-60,4
2020-04-05,Muscatine,18-40,2
2020-04-05,Muscatine,41-60,3
2020-04-05,Muscatine,61-80,1
2020-04-05,Plymouth,18-40,1
2020-04-05,Polk,18-40,3
2020-04-05,Polk,41-60,8
2020-04-05,Polk,61-80,2
2020-04-05,Scott,18-40,3
2020-04-05,Shelby,41-60,1
2020-04-05,Tama,61-80,1
2020-04-05,Warren,41-60,1
2020-04-05,Washington,41-60,2
2020-04-05,NA,NA,NA
2020-04-05,NA,NA,NA
2020-04-05,NA,NA,NA
2020-04-05,NA,NA,NA
2020-04-05,NA,NA,NA
2020-04-05,NA,NA,NA
2020-04-05,NA,NA,NA
2020-04-05,NA,NA,NA
2020-04-05,NA,NA,NA
2020-04-06,Allamakee,18-40,1
2020-04-06,Benton,41-60,1
2020-04-06,Cedar,41-60,1
2020-04-06,Cerro Gordo,61-80,2
2020-04-06,Chickasaw,18-40,1
2020-04-06,Clinton,61-80,1
2020-04-06,Crawford,41-60,1
2020-04-06,Dubuque,41-60,1
2020-04-06,Franklin,41-60,1
2020-04-06,Henry,18-40,1
2020-04-06,Jackson,41-60,1
2020-04-06,Johnson,18-40,5
2020-04-06,Johnson,41-60,6
2020-04-06,Johnson,61-80,1
2020-04-06,Linn,18-40,5
2020-04-06,Linn,41-60,6
2020-04-06,Linn,61-80,2
2020-04-06,Linn,81+,1
2020-04-06,Louisa,41-60,1
2020-04-06,Marion,61-80,1
2020-04-06,Marshall,18-40,1
2020-04-06,Marshall,61-80,1
2020-04-06,Muscatine,18-40,5
2020-04-06,Muscatine,41-60,2
2020-04-06,Muscatine,61-80,1
2020-04-06,Page,41-60,1
2020-04-06,Polk,41-60,1
2020-04-06,Polk,61-80,2
2020-04-06,Pottawattamie,18-40,1
2020-04-06,Scott,18-40,2
2020-04-06,Scott,41-60,7
2020-04-06,Scott,61-80,1
2020-04-06,Scott,81+,1
2020-04-06,Tama,18-40,1
2020-04-06,Tama,41-60,1
2020-04-06,Tama,61-80,1
2020-04-06,Tama,81+,3
2020-04-06,Wapello,18-40,1
2020-04-06,Warren,18-40,1
2020-04-06,Washington,18-40,1
2020-04-06,Washington,41-60,1
2020-04-06,Washington,61-80,1
2020-04-06,Winnebago,41-60,1
2020-04-06,NA,NA,NA
2020-04-07,Benton,41-60,1
2020-04-07,Black Hawk,18-40,3
2020-04-07,Buena Vista,41-60,1
2020-04-07,Delaware,61-80,1
2020-04-07,Des Moines,61-80,2
2020-04-07,Dubuque,18-40,1
2020-04-07,Dubuque,41-60,1
2020-04-07,Dubuque,61-80,1
2020-04-07,Greene,41-60,1
2020-04-07,Hamilton,18-40,1
2020-04-07,Henry,0-17,1
2020-04-07,Henry,18-40,1
2020-04-07,Henry,41-60,2
2020-04-07,Johnson,18-40,10
2020-04-07,Johnson,41-60,4
2020-04-07,Johnson,61-80,1
2020-04-07,Johnson,81+,1
2020-04-07,Linn,18-40,4
2020-04-07,Linn,41-60,5
2020-04-07,Linn,61-80,2
2020-04-07,Louisa,18-40,7
2020-04-07,Louisa,41-60,3
2020-04-07,Louisa,61-80,3
2020-04-07,Mahaska,41-60,1
2020-04-07,Marion,18-40,1
2020-04-07,Marshall,18-40,2
2020-04-07,Muscatine,0-17,2
2020-04-07,Muscatine,18-40,3
2020-04-07,Muscatine,41-60,3
2020-04-07,Muscatine,61-80,2
2020-04-07,Polk,18-40,1
2020-04-07,Polk,61-80,1
2020-04-07,Pottawattamie,41-60,1
2020-04-07,Scott,18-40,6
2020-04-07,Scott,41-60,5
2020-04-07,Scott,61-80,3
2020-04-07,Story,41-60,1
2020-04-07,Tama,61-80,3
2020-04-07,Tama,81+,3
2020-04-07,Warren,41-60,1
2020-04-07,Washington,18-40,1
2020-04-07,Washington,41-60,1
2020-04-07,Washington,61-80,2
2020-04-07,Washington,81+,1
2020-04-07,Woodbury,18-40,1
2020-04-08,Allamakee,18-40,1
2020-04-08,Allamakee,61-80,1
2020-04-08,Benton,0-17,1
2020-04-08,Black Hawk,18-40,1
2020-04-08,Black Hawk,41-60,3
2020-04-08,Cedar,18-40,3
2020-04-08,Cedar,61-80,1
2020-04-08,Clinton,18-40,1
2020-04-08,Clinton,41-60,1
2020-04-08,Crawford,18-40,1
2020-04-08,Harrison,18-40,1
2020-04-08,Henry,18-40,2
2020-04-08,Johnson,18-40,10
2020-04-08,Johnson,41-60,1
2020-04-08,Johnson,61-80,2
2020-04-08,Linn,0-17,1
2020-04-08,Linn,18-40,4
2020-04-08,Linn,41-60,1
2020-04-08,Linn,61-80,3
2020-04-08,Linn,81+,2
2020-04-08,Louisa,18-40,4
2020-04-08,Louisa,41-60,5
2020-04-08,Louisa,61-80,1
2020-04-08,Marshall,18-40,1
2020-04-08,Muscatine,18-40,4
2020-04-08,Muscatine,41-60,5
2020-04-08,Muscatine,61-80,1
2020-04-08,Polk,18-40,2
2020-04-08,Polk,41-60,4
2020-04-08,Polk,61-80,1
2020-04-08,Pottawattmie,41-60,1
2020-04-08,Pottawattmie,61-80,1
2020-04-08,Scott,18-40,4
2020-04-08,Scott,41-60,7
2020-04-08,Scott,61-80,1
2020-04-08,Tama,18-40,1
2020-04-08,Tama,41-60,1
2020-04-08,Tama,61-80,2
2020-04-08,Warren,81+,1
2020-04-08,Washington,18-40,3
2020-04-08,Washington,41-60,1
2020-04-08,Washington,61-80,1
2020-04-08,Webster,61-80,1
2020-04-08,Woodbury,41-60,2
2020-04-08,Worth,41-60,1
2020-04-09,Benton,18-40,1
2020-04-09,Benton,41-60,2
2020-04-09,Black Hawk,18-40,1
2020-04-09,Black Hawk,41-60,1
2020-04-09,Boone,41-60,1
2020-04-09,Buchanan,41-60,1
2020-04-09,Cedar,41-60,1
2020-04-09,Cerro Gordo,41-60,1
2020-04-09,Chickasaw,41-60,1
2020-04-09,Clinton,0-17,1
2020-04-09,Clinton,61-80,1
2020-04-09,Dallas,41-60,1
2020-04-09,Dubuque,18-40,1
2020-04-09,Dubuque,41-60,2
2020-04-09,Iowa,18-40,1
2020-04-09,Jasper,41-60,1
2020-04-09,Johnson,18-40,8
2020-04-09,Johnson,41-60,12
2020-04-09,Johnson,61-80,4
2020-04-09,Jones,41-60,2
2020-04-09,Linn,0-17,1
2020-04-09,Linn,18-40,7
2020-04-09,Linn,41-60,6
2020-04-09,Linn,61-80,3
2020-04-09,Linn,81+,1
2020-04-09,Louisa,18-40,4
2020-04-09,Louisa,41-60,6
2020-04-09,Louisa,81+,1
2020-04-09,Marshall,18-40,1
2020-04-09,Marshall,41-60,1
2020-04-09,Marshall,61-80,1
2020-04-09,Muscatine,18-40,1
2020-04-09,Muscatine,41-60,6
2020-04-09,Muscatine,61-80,1
2020-04-09,Muscatine,81+,1
2020-04-09,Polk,18-40,2
2020-04-09,Polk,41-60,3
2020-04-09,Polk,61-80,1
2020-04-09,Scott,0-17,1
2020-04-09,Scott,18-40,6
2020-04-09,Scott,41-60,2
2020-04-09,Scott,61-80,2
2020-04-09,Story,41-60,1
2020-04-09,Tama,18-40,3
2020-04-09,Tama,41-60,9
2020-04-09,Tama,61-80,3
2020-04-09,Tama,81+,2
2020-04-09,Washington,41-60,2
2020-04-09,Washington,81+,1
2020-04-09,Winneshiek,41-60,1
2020-04-09,Wodbury,18-40,1
2020-04-10,Allamakee,41-60,1
2020-04-10,Black Hawk,18-40,6
2020-04-10,Black Hawk,41-60,7
2020-04-10,Black Hawk,61-80,1
2020-04-10,Cedar,18-40,1
2020-04-10,Clarke,41-60,1
2020-04-10,Clayton,18-40,1
2020-04-10,Clinton,41-60,2
2020-04-10,Clinton,61-80,1
2020-04-10,Dubuque,41-60,1
2020-04-10,Fayette,41-60,1
2020-04-10,Harrison,61-80,1
2020-04-10,Henry,18-40,1
2020-04-10,Henry,61-80,1
2020-04-10,Jasper,18-40,1
2020-04-10,Johnson,0-17,1
2020-04-10,Johnson,18-40,5
2020-04-10,Johnson,41-60,6
2020-04-10,Johnson,61-80,2
2020-04-10,Linn,18-40,3
2020-04-10,Linn,41-60,4
2020-04-10,Linn,61-80,2
2020-04-10,Linn,81+,1
2020-04-10,Louisa,18-40,5
2020-04-10,Louisa,41-60,6
2020-04-10,Louisa,61-80,3
2020-04-10,Marshall,41-60,2
2020-04-10,Muscatine,18-40,2
2020-04-10,Muscatine,41-60,8
2020-04-10,Muscatine,61-80,1
2020-04-10,Osceola,41-60,1
2020-04-10,Polk,18-40,6
2020-04-10,Polk,61-80,1
2020-04-10,Pottawattamie,41-60,1
2020-04-10,Scott,18-40,3
2020-04-10,Scott,41-60,6
2020-04-10,Scott,61-80,1
2020-04-10,Scott,81+,1
2020-04-10,Tama,18-40,4
2020-04-10,Tama,41-60,3
2020-04-10,Union,61-80,1
2020-04-10,Wapello,18-40,1
2020-04-10,Warren,18-40,1
2020-04-10,Warren,41-60,1
2020-04-10,Washington,18-40,2
2020-04-10,Washington,41-60,2
2020-04-10,Washington,61-80,1
2020-04-10,Winebago,18-40,1
2020-04-10,Woodbury,41-60,3
2020-04-11,Allamakee,61-80,1
2020-04-11,Benton,41-60,1
2020-04-11,Black Hawk,18-40,3
2020-04-11,Black Hawk,61-80,3
2020-04-11,Bremer,81+,1
2020-04-11,Buena Vista,41-60,1
2020-04-11,Clayton,18-40,1
2020-04-11,Clinton,41-60,4
2020-04-11,Dallas,41-60,1
2020-04-11,Delaware,61-80,1
2020-04-11,Henry,41-60,1
2020-04-11,Henry,61-80,1
2020-04-11,Jefferson,41-60,1
2020-04-11,Johnson,18-40,7
2020-04-11,Johnson,41-60,2
2020-04-11,Linn,18-40,2
2020-04-11,Linn,41-60,3
2020-04-11,Linn,61-80,4
2020-04-11,Linn,81+,1
2020-04-11,Louisa,18-40,4
2020-04-11,Louisa,41-60,9
2020-04-11,Louisa,61-80,1
2020-04-11,Madison,61-80,1
2020-04-11,Marion,18-40,1
2020-04-11,Marshall,18-40,7
2020-04-11,Marshall,41-60,1
2020-04-11,Muscatine,18-40,8
2020-04-11,Muscatine,41-60,1
2020-04-11,Muscatine,61-80,2
2020-04-11,Polk,18-40,9
2020-04-11,Polk,41-60,2
2020-04-11,Polk,61-80,5
2020-04-11,Scott,18-40,1
2020-04-11,Scott,41-60,5
2020-04-11,Scott,61-80,6
2020-04-11,Tama,18-40,3
2020-04-11,Tama,41-60,3
2020-04-11,Tama,61-80,1
2020-04-11,Wapello,41-60,1
2020-04-11,Washington,18-40,2
2020-04-11,Washington,41-60,6
2020-04-11,Washington,61-80,1
2020-04-11,Woodbury,41-60,3
2020-04-12,Benton,61-80,1
2020-04-12,Black Hawk,0-17,1
2020-04-12,Black Hawk,18-40,1
2020-04-12,Black Hawk,41-60,2
2020-04-12,Black Hawk,61-80,1
2020-04-12,Black Hawk,81+,1
2020-04-12,Buchanan,18-40,1
2020-04-12,Clinton,18-40,1
2020-04-12,Des Moines,41-60,1
2020-04-12,Dubuque,18-40,1
2020-04-12,Dubuque,41-60,2
2020-04-12,Jasper,41-60,1
2020-04-12,Johnson,18-40,1
2020-04-12,Johnson,41-60,7
2020-04-12,Linn,18-40,2
2020-04-12,Linn,41-60,3
2020-04-12,Linn,61-80,2
2020-04-12,Linn,81+,1
2020-04-12,Louisa,18-40,1
2020-04-12,Louisa,41-60,5
2020-04-12,Lyon,18-40,1
2020-04-12,Marshall,41-60,3
2020-04-12,Muscatine,41-60,4
2020-04-12,Muscatine,61-80,2
2020-04-12,Osceola,18-40,1
2020-04-12,Polk,18-40,6
2020-04-12,Polk,41-60,3
2020-04-12,Polk,61-80,3
2020-04-12,Polk,81+,2
2020-04-12,Scott,41-60,3
2020-04-12,Scott,61-80,1
2020-04-12,Tama,18-40,2
2020-04-12,Tama,41-60,6
2020-04-12,Tama,61-80,1
2020-04-12,Warren,41-60,1
2020-04-12,Washingto,41-60,2
2020-04-13,Allamakee,18-40,2
2020-04-13,Benton,41-60,1
2020-04-13,Benton,61-80,2
2020-04-13,Black Hawk,18-40,9
2020-04-13,Black Hawk,41-60,3
2020-04-13,Black Hawk,61-80,3
2020-04-13,Bremer,61-80,1
2020-04-13,Buchanan,41-60,1
2020-04-13,Cass,41-60,1
2020-04-13,Cedar,18-40,1
2020-04-13,Clinton,18-40,2
2020-04-13,Clinton,41-60,1
2020-04-13,Clinton,61-80,1
2020-04-13,Des Moines,61-80,1
2020-04-13,Fayette,61-80,1
2020-04-13,Hardin,61-80,1
2020-04-13,Henry,61-80,1
2020-04-13,Jasper,41-60,1
2020-04-13,Johnson,18-40,3
2020-04-13,Johnson,41-60,3
2020-04-13,Johnson,61-80,1
2020-04-13,Jones,41-60,2
2020-04-13,Lee,61-80,1
2020-04-13,Linn,18-40,5
2020-04-13,Linn,41-60,5
2020-04-13,Linn,61-80,3
2020-04-13,Linn,81+,2
2020-04-13,Louisa,18-40,1
2020-04-13,Louisa,41-60,1
2020-04-13,Louisa,61-80,1
2020-04-13,Lyon,41-60,1
2020-04-13,Mahaska,41-60,1
2020-04-13,Marshall,18-40,1
2020-04-13,Marshall,41-60,4
2020-04-13,Marshall,61-80,1
2020-04-13,Mills,41-60,1
2020-04-13,Muscatine,18-40,2
